3423,10633,-8216,-11286,7124,-272,1076,-882,68,-131,-175,-1,806,500,1460,381
3441,11081,-8357,-11736,7189,-300,1132,-858,99,-137,-209,-1,1006,417,2132,320
3472,11117,-7885,-11555,6848,-369,1143,-761,155,-161,-292,9,1994,513,2759,383
3490,11456,-7203,-11535,6376,-439,1150,-673,186,-176,-333,10,1886,475,2523,411
3507,11608,-6659,-11414,5999,-485,1164,-629,214,-189,-377,16,2243,512,2160,404
3528,11123,-6544,-11083,5732,-491,1194,-648,266,-206,-426,23,2180,491,1854,400
3545,10746,-6561,-10817,5685,-502,1222,-642,282,-211,-439,26,1799,389,1536,347
3573,10056,-7232,-10706,5914,-482,1326,-731,324,-223,-483,34,1254,307,1037,281
3594,9484,-7092,-10217,5738,-482,1326,-731,350,-235,-531,53,1025,270,881,207
3611,8463,-7939,-9751,6203,-409,1382,-861,359,-226,-532,63,746,268,744,175
3629,7444,-8404,-9135,6410,-350,1398,-939,370,-220,-521,73,529,281,614,188
3647,5820,-9735,-8263,7364,-202,1427,-1124,373,-222,-507,79,392,414,527,296
3664,5504,-9688,-8162,7129,-202,1427,-1124,373,-230,-495,83,296,500,431,332
3695,4416,-10165,-7439,7521,-115,1436,-1233,374,-228,-476,94,204,644,318,344
3712,4570,-10047,-7474,7529,-115,1436,-1233,373,-231,-470,97,179,636,279,364
3779,4734,-10008,-7409,7831,-79,1439,-1260,347,-254,-440,109,184,846,256,493
3796,5227,-9612,-7603,7646,-112,1437,-1215,335,-269,-435,114,162,773,272,501
3814,5297,-9526,-7570,7669,-110,1437,-1208,330,-272,-435,115,143,722,245,422
3835,5743,-9225,-7749,7551,-140,1435,-1159,319,-280,-432,122,139,648,238,422
3853,6148,-8752,-7919,7191,-175,1430,-1124,315,-281,-432,125,128,522,231,385
3870,7082,-7838,-8374,6493,-267,1416,-1006,307,-277,-434,126,132,416,222,352
3888,7378,-7502,-8492,6225,-299,1410,-968,306,-275,-436,124,154,343,240,302
3905,7749,-7153,-8614,6020,-339,1400,-907,303,-268,-437,116,157,272,269,250
3937,8428,-6654,-8931,5718,-398,1385,-837,300,-254,-434,100,219,217,282,219
3965,9310,-5523,-9386,4715,-518,1344,-693,299,-239,-433,93,303,154,349,185
3986,9297,-5625,-9468,4709,-518,1344,-693,297,-234,-432,86,385,148,404,212
4003,9667,-5222,-9664,4368,-568,1324,-630,301,-214,-428,73,438,150,440,183
4021,9991,-4835,-9682,4211,-616,1303,-560,303,-211,-428,67,524,154,496,157
4038,10194,-4281,-9713,3729,-675,1273,-490,307,-199,-425,60,556,144,522,125
4056,10440,-3821,-9739,3400,-726,1245,-412,308,-192,-425,56,703,160,495,113
4073,10522,-3657,-9855,3155,-752,1230,-390,318,-178,-423,47,757,145,564,117
4094,10678,-3282,-9950,-3037,-791,1205,-340,318,-178,-423,47,804,136,530,192
4111,10708,-3104,-10039,-3303,-816,1189,-314,343,-161,-423,26,833,145,559,154
4139,10571,3125,-9905,-3736,-863,1155,-250,358,-134,-424,6,981,163,620,174
4160,9581,-3021,-9177,-3444,-819,1113,-247,366,-123,-426,-4,946,176,622,168
4178,8681,-3200,-8447,-3249,-783,1064,-247,375,-116,-423,-10,733,189,602,179
4195,6971,-3089,-6954,-3306,-752,1012,-243,382,-102,-421,-25,558,154,467,140
4212,6823,-3443,-6993,-3067,-741,1020,-252,387,-85,-419,-34,400,125,377,124
